pid,hh_id,gameing hours,date,Experience rate,Retention1,Retention2
419,87052,5,06/04/2025,good,0,
420,88159,1,01/04/2025,good,1,
420,88159,2,02/04/2025,bad,0,
420,88159,5,05/04/2025,bad,1,
420,88159,1,06/04/2025,good,1,
420,88159,3,07/04/2025,good,0,
421,89897,4,01/04/2025,bad,0,
421,89897,2,04/04/2025,bad,1,
421,89897,5,05/04/2025,bad,1,
421,89897,2,06/04/2025,bad,1,
421,89897,5,07/04/2025,bad,0,
422,89897,2,02/04/2025,bad,1,
422,89897,2,03/04/2025,good,0,
422,89897,3,06/04/2025,bad,1,
422,89897,5,07/04/2025,bad,0,
423,84641,3,02/04/2025,good,0,
423,84641,1,05/04/2025,good,1,
423,84641,4,06/04/2025,good,1,
423,84641,5,07/04/2025,bad,0,
424,89486,3,05/04/2025,good,1,
424,89486,5,06/04/2025,good,1,
424,89486,4,07/04/2025,good,0,
425,89486,3,04/04/2025,good,0,
425,89486,5,07/04/2025,good,0,
426,89921,3,02/04/2025,bad,0,
426,89921,1,05/04/2025,bad,1,
426,89921,1,06/04/2025,good,1,
426,89921,3,07/04/2025,bad,0,
427,81964,1,02/04/2025,good,1,
427,81964,5,03/04/2025,good,1,
427,81964,1,04/04/2025,bad,0,
427,81964,1,06/04/2025,good,1,
427,81964,4,07/04/2025,bad,0,
428,81964,4,03/04/2025,bad,1,
428,81964,1,04/04/2025,bad,1,
428,81964,3,05/04/2025,good,1,
428,81964,5,06/04/2025,bad,1,
428,81964,5,07/04/2025,good,0,
429,86591,5,02/04/2025,good,0,
429,86591,4,04/04/2025,bad,0,
429,86591,5,06/04/2025,good,0,
430,88848,4,02/04/2025,bad,0,
430,88848,5,07/04/2025,good,0,
431,80322,4,01/04/2025,good,0,
431,80322,2,03/04/2025,good,0,
432,82679,2,01/04/2025,bad,1,
432,82679,4,02/04/2025,bad,0,
433,84626,1,03/04/2025,bad,1,
433,84626,3,04/04/2025,bad,1,
433,84626,2,05/04/2025,bad,1,
433,84626,5,06/04/2025,good,1,
433,84626,2,07/04/2025,good,0,
434,84950,3,04/04/2025,good,0,
434,84950,3,06/04/2025,good,1,
434,84950,5,07/04/2025,good,0,
435,88329,1,01/04/2025,bad,0,
435,88329,3,03/04/2025,bad,0,
435,88329,4,05/04/2025,bad,1,
435,88329,1,06/04/2025,bad,1,
435,88329,5,07/04/2025,bad,0,
436,83338,3,05/04/2025,bad,1,
436,83338,2,06/04/2025,bad,0,
437,85590,5,02/04/2025,bad,1,
437,85590,2,03/04/2025,bad,1,
437,85590,3,04/04/2025,good,0,
437,85590,1,06/04/2025,good,1,
437,85590,5,07/04/2025,bad,0,
438,80252,4,02/04/2025,bad,1,
438,80252,1,03/04/2025,bad,0,
438,80252,4,05/04/2025,good,0,
438,80252,4,07/04/2025,good,0,
439,80252,1,02/04/2025,good,0,
439,80252,1,05/04/2025,good,1,
439,80252,1,06/04/2025,bad,1,
439,80252,1,07/04/2025,good,0,
440,86631,1,01/04/2025,good,0,
440,86631,5,03/04/2025,good,1,
440,86631,2,04/04/2025,good,0,
440,86631,2,06/04/2025,good,1,
440,86631,3,07/04/2025,bad,0,
441,85548,3,04/04/2025,bad,0,
441,85548,2,07/04/2025,good,0,
442,80036,1,03/04/2025,good,1,
442,80036,3,04/04/2025,good,0,
442,80036,1,06/04/2025,bad,1,
442,80036,3,07/04/2025,bad,0,
443,88363,5,01/04/2025,bad,1,
443,88363,5,02/04/2025,bad,1,
443,88363,1,03/04/2025,good,0,
443,88363,3,06/04/2025,good,1,
443,88363,1,07/04/2025,bad,0,
444,81514,3,03/04/2025,bad,0,
444,81514,5,05/04/2025,good,0,
444,81514,2,07/04/2025,bad,0,
445,81514,2,01/04/2025,good,1,
445,81514,5,02/04/2025,good,0,
445,81514,3,04/04/2025,bad,0,
445,81514,2,07/04/2025,good,0,
446,80040,1,03/04/2025,good,1,
446,80040,4,04/04/2025,good,0,
447,84820,3,05/04/2025,good,0,
447,84820,3,07/04/2025,good,0,
448,83466,1,02/04/2025,good,0,
448,83466,5,06/04/2025,good,0,
449,81761,2,02/04/2025,bad,0,
449,81761,5,04/04/2025,good,0,
450,82305,1,01/04/2025,good,0,
450,82305,5,06/04/2025,good,0,
